id,nome_normalizado,nome,sigla,habilitacao,coordenacao_id,grau_id,turno_id,created_at,updated_at
245,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIMEOUESPANHOL,Letras - Português e/ou Alemão e/ou Grego e/ou Latim e/ou Espanhol,,Português e Espanhol,,1,7,2024-11-12 20:03:29.759404,2024-11-12 20:03:29.759410
246,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIMEOUESPANHOL,Letras - Português e/ou Alemão e/ou Grego e/ou Latim e/ou Espanhol,,Português e Grego,,1,3,2024-11-12 20:03:29.762292,2024-11-12 20:03:29.762297
247,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIMEOUESPANHOL,Letras - Português e/ou Alemão e/ou Grego e/ou Latim e/ou Espanhol,,Português e Grego,,1,7,2024-11-12 20:03:29.766073,2024-11-12 20:03:29.766079
248,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIMEOUESPANHOL,Letras - Português e/ou Alemão e/ou Grego e/ou Latim e/ou Espanhol,,Português e Latim,,1,3,2024-11-12 20:03:29.769017,2024-11-12 20:03:29.769023
249,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIMEOUESPANHOL,Letras - Português e/ou Alemão e/ou Grego e/ou Latim e/ou Espanhol,,Português e Latim,,1,7,2024-11-12 20:03:29.772397,2024-11-12 20:03:29.772402
250,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIMEOUESPANHOL,Letras - Português e/ou Alemão e/ou Grego e/ou Latim e/ou Espanhol,,Português e/ou Alemão e/ou Grego e/ou Latim e/ou Espanhol,,3,7,2024-11-12 20:03:29.776178,2024-11-12 20:03:29.776183
251,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Alemão,,2,3,2024-11-12 20:03:29.779090,2024-11-12 20:03:29.779095
252,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Alemão,,2,7,2024-11-12 20:03:29.782493,2024-11-12 20:03:29.782498
253,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Português e Alemão,,2,3,2024-11-12 20:03:29.785642,2024-11-12 20:03:29.785647
254,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Português e Alemão,,2,7,2024-11-12 20:03:29.789095,2024-11-12 20:03:29.789101
255,LETRASPORTUGUESEOUESPANHOL,Letras - Português e/ou Espanhol,,Estudos da tradução em Português e Espanhol,,1,3,2024-11-12 20:03:29.792184,2024-11-12 20:03:29.792189
256,LETRASPORTUGUESEOUESPANHOL,Letras - Português e/ou Espanhol,,Estudos da tradução em Português e Espanhol,,1,7,2024-11-12 20:03:29.795560,2024-11-12 20:03:29.795565
257,LETRASPORTUGUESEOUESPANHOL,Letras - Português e/ou Espanhol,,Estudos linguísticos em Espanhol,,1,3,2024-11-12 20:03:29.798704,2024-11-12 20:03:29.798709
258,LETRASPORTUGUESEOUESPANHOL,Letras - Português e/ou Espanhol,,Estudos linguísticos em Espanhol,,1,7,2024-11-12 20:03:29.802052,2024-11-12 20:03:29.802057
259,LETRASPORTUGUESEOUESPANHOL,Letras - Português e/ou Espanhol,,Estudos linguísticos em Português e Espanhol,,1,3,2024-11-12 20:03:29.804930,2024-11-12 20:03:29.804935
260,LETRASPORTUGUESEOUESPANHOL,Letras - Português e/ou Espanhol,,Estudos linguísticos em Português e Espanhol,,1,7,2024-11-12 20:03:29.808299,2024-11-12 20:03:29.808304
261,LETRASPORTUGUESEOUESPANHOL,Letras - Português e/ou Espanhol,,Estudos literários em Espanhol,,1,3,2024-11-12 20:03:29.811378,2024-11-12 20:03:29.811383
262,LETRASPORTUGUESEOUESPANHOL,Letras - Português e/ou Espanhol,,Estudos literários em Espanhol,,1,7,2024-11-12 20:03:29.816175,2024-11-12 20:03:29.816181
263,LETRASPORTUGUESEOUESPANHOL,Letras - Português e/ou Espanhol,,Estudos literários em Português e Espanhol,,1,3,2024-11-12 20:03:29.819370,2024-11-12 20:03:29.819375
264,LETRASPORTUGUESEOUESPANHOL,Letras - Português e/ou Espanhol,,Estudos literários em Português e Espanhol,,1,7,2024-11-12 20:03:29.823259,2024-11-12 20:03:29.823265
265,LETRASPORTUGUESEOUESPANHOL,Letras - Português e/ou Espanhol,,Letras - Português e/ou Espanhol,,3,7,2024-11-12 20:03:29.826712,2024-11-12 20:03:29.826717
266,LETRASPORTUGUESEOUESPANHOL,Letras - Português e/ou Espanhol,,Espanhol,,2,3,2024-11-12 20:03:29.829626,2024-11-12 20:03:29.829631
267,LETRASPORTUGUESEOUESPANHOL,Letras - Português e/ou Espanhol,,Espanhol,,2,7,2024-11-12 20:03:29.833367,2024-11-12 20:03:29.833373
268,LETRASPORTUGUESEOUINGLES,Letras - Português e/ou Inglês,,Estudos da tradução em Português e Inglês,,1,3,2024-11-12 20:03:29.836535,2024-11-12 20:03:29.836540
269,LETRASPORTUGUESEOUINGLES,Letras - Português e/ou Inglês,,Estudos da tradução em Português e Inglês,,1,7,2024-11-12 20:03:29.840153,2024-11-12 20:03:29.840159
270,LETRASPORTUGUESEOUINGLES,Letras - Português e/ou Inglês,,Estudos linguísticos em Inglês,,1,3,2024-11-12 20:03:29.843134,2024-11-12 20:03:29.843139
271,LETRASPORTUGUESEOUINGLES,Letras - Português e/ou Inglês,,Estudos linguísticos em Inglês,,1,7,2024-11-12 20:03:29.846574,2024-11-12 20:03:29.846579
272,LETRASPORTUGUESEOUINGLES,Letras - Português e/ou Inglês,,Estudos linguísticos em Português e Inglês,,1,3,2024-11-12 20:03:29.849517,2024-11-12 20:03:29.849522
273,LETRASPORTUGUESEOUINGLES,Letras - Português e/ou Inglês,,Estudos linguísticos em Português e Inglês,,1,7,2024-11-12 20:03:29.853216,2024-11-12 20:03:29.853221
274,LETRASPORTUGUESEOUINGLES,Letras - Português e/ou Inglês,,Estudos Literários em Inglês,,1,3,2024-11-12 20:03:29.856150,2024-11-12 20:03:29.856155
275,LETRASPORTUGUESEOUINGLES,Letras - Português e/ou Inglês,,Estudos Literários em Inglês,,1,7,2024-11-12 20:03:29.859572,2024-11-12 20:03:29.859577
276,LETRASPORTUGUESEOUINGLES,Letras - Português e/ou Inglês,,Estudos literários em Português e Inglês,,1,3,2024-11-12 20:03:29.862485,2024-11-12 20:03:29.862490
277,LETRASPORTUGUESEOUINGLES,Letras - Português e/ou Inglês,,Estudos literários em Português e Inglês,,1,7,2024-11-12 20:03:29.866109,2024-11-12 20:03:29.866114
278,LETRASPORTUGUESEOUINGLES,Letras - Português e/ou Inglês,,Letras - Português e/ou Inglês,,2,3,2024-11-12 20:03:29.869017,2024-11-12 20:03:29.869022
