id,curriculo_id,disciplina_id,natureza_disciplina_id,created_at,updated_at
54,3,13048,2,2024-11-12 20:04:11.551689,2024-11-12 20:04:11.551704
55,3,2345,2,2024-11-12 20:04:11.557518,2024-11-12 20:04:11.557529
56,3,2347,2,2024-11-12 20:04:11.564706,2024-11-12 20:04:11.564720
57,3,2358,2,2024-11-12 20:04:11.572456,2024-11-12 20:04:11.572473
58,3,2397,2,2024-11-12 20:04:11.580551,2024-11-12 20:04:11.580566
59,3,2399,2,2024-11-12 20:04:11.585946,2024-11-12 20:04:11.585955
60,3,2401,2,2024-11-12 20:04:11.590178,2024-11-12 20:04:11.590186
61,3,2403,2,2024-11-12 20:04:11.594676,2024-11-12 20:04:11.594685
62,3,2405,2,2024-11-12 20:04:11.599745,2024-11-12 20:04:11.599753
63,3,2407,2,2024-11-12 20:04:11.603926,2024-11-12 20:04:11.603934
64,3,2409,2,2024-11-12 20:04:11.608528,2024-11-12 20:04:11.608536
65,3,2411,2,2024-11-12 20:04:11.612584,2024-11-12 20:04:11.612591
66,3,2412,2,2024-11-12 20:04:11.616350,2024-11-12 20:04:11.616356
67,3,2413,2,2024-11-12 20:04:11.620346,2024-11-12 20:04:11.620352
68,3,2414,2,2024-11-12 20:04:11.623958,2024-11-12 20:04:11.623964
69,3,2415,2,2024-11-12 20:04:11.627963,2024-11-12 20:04:11.627969
70,3,2416,2,2024-11-12 20:04:11.631627,2024-11-12 20:04:11.631633
71,3,2417,2,2024-11-12 20:04:11.635317,2024-11-12 20:04:11.635323
72,3,2419,2,2024-11-12 20:04:11.639200,2024-11-12 20:04:11.639206
73,3,2420,2,2024-11-12 20:04:11.642927,2024-11-12 20:04:11.642933
74,3,2422,2,2024-11-12 20:04:11.646701,2024-11-12 20:04:11.646707
75,3,2424,2,2024-11-12 20:04:11.651937,2024-11-12 20:04:11.651944
76,3,2426,2,2024-11-12 20:04:11.656158,2024-11-12 20:04:11.656164
77,3,2427,2,2024-11-12 20:04:11.660070,2024-11-12 20:04:11.660076
78,3,2429,2,2024-11-12 20:04:11.664161,2024-11-12 20:04:11.664168
