id,nome,nome_normalizado,sigla,numero,created_at,updated_at
29,Departamento de Teoria e Prática de Ensino,DEPARTAMENTODETEORIAEPRATICADEENSINO,,165,2024-11-12 20:03:28.635460,2024-11-12 20:03:28.635466
30,Departamento de Administração Geral e Aplicada,DEPARTAMENTODEADMINISTRACAOGERALEAPLICADA,,175,2024-11-12 20:03:28.636816,2024-11-12 20:03:28.636822
31,Departamento de Contabilidade,DEPARTAMENTODECONTABILIDADE,,176,2024-11-12 20:03:28.638385,2024-11-12 20:03:28.638391
32,Departamento de Ciências Econômicas,DEPARTAMENTODECIENCIASECONOMICAS,,177,2024-11-12 20:03:28.639726,2024-11-12 20:03:28.639731
33,Departamento de Ciência e Gestão da Informação,DEPARTAMENTODECIENCIAEGESTAODAINFORMACAO,,178,2024-11-12 20:03:28.641430,2024-11-12 20:03:28.641435
34,Coordenação do Programa de Pós-Graduação em Administração,COORDENACAODOPROGRAMADEPOSGRADUACAOEMADMINISTRACAO,,179,2024-11-12 20:03:28.642788,2024-11-12 20:03:28.642794
35,Núcleo de Prática Jurídica,NUCLEODEPRATICAJURIDICA,,181,2024-11-12 20:03:28.644682,2024-11-12 20:03:28.644689
36,Coordenação do Curso de Farmácia,COORDENACAODOCURSODEFARMACIA,,184,2024-11-12 20:03:28.646274,2024-11-12 20:03:28.646280
37,Coordenação do Curso de Medicina,COORDENACAODOCURSODEMEDICINA,,185,2024-11-12 20:03:28.647886,2024-11-12 20:03:28.647891
38,Departamento de Cirurgia,DEPARTAMENTODECIRURGIA,,188,2024-11-12 20:03:28.649111,2024-11-12 20:03:28.649117
39,Departamento de Clínica Médica,DEPARTAMENTODECLINICAMEDICA,,189,2024-11-12 20:03:28.650613,2024-11-12 20:03:28.650619
40,Departamento de Enfermagem,DEPARTAMENTODEENFERMAGEM,,190,2024-11-12 20:03:28.651874,2024-11-12 20:03:28.651880
