id,curriculo_id,codigo,nome,created_at,updated_at
57,4,CI1064,SOFTWARE BÁSICO,2024-11-12 20:04:38.961976,2024-11-12 20:04:38.961976
58,4,CI1065,ALGORITMOS E TEORIA DOS GRAFOS,2024-11-12 20:04:38.967836,2024-11-12 20:04:38.967836
59,4,CI1100,ESTÁGIO SUPERVISIONADO,2024-11-12 20:04:38.973562,2024-11-12 20:04:38.973562
60,4,CI1162,ENGENHARIA DE REQUISITOS,2024-11-12 20:04:38.979273,2024-11-12 20:04:38.979273
61,4,CI1163,DESIGN DE SOFTWARE,2024-11-12 20:04:38.984922,2024-11-12 20:04:38.984922
62,4,CI1164,INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA,2024-11-12 20:04:38.990846,2024-11-12 20:04:38.990846
63,4,CI1165,ANÁLISE DE ALGORITMOS,2024-11-12 20:04:38.996750,2024-11-12 20:04:38.996750
64,4,CI1209,INTELIGÊNCIA ARTIFICIAL,2024-11-12 20:04:39.002449,2024-11-12 20:04:39.002449
65,4,CI1211,CONSTRUÇÃO DE COMPILADORES,2024-11-12 20:04:39.008918,2024-11-12 20:04:39.008918
66,4,CI1215,SISTEMAS OPERACIONAIS,2024-11-12 20:04:39.015618,2024-11-12 20:04:39.015618
67,4,CI1218,BANCOS DE DADOS,2024-11-12 20:04:39.022081,2024-11-12 20:04:39.022081
68,4,CI1221,ENGENHARIA DE SOFTWARE,2024-11-12 20:04:39.029120,2024-11-12 20:04:39.029120
69,4,CI1238,OTIMIZAÇÃO,2024-11-12 20:04:39.036314,2024-11-12 20:04:39.036314
70,4,CI1316,PROGRAMAÇÃO PARALELA,2024-11-12 20:04:39.043528,2024-11-12 20:04:39.043528
71,4,CI1350,INTERAÇÃO HUMANO-COMPUTADOR,2024-11-12 20:04:39.050327,2024-11-12 20:04:39.050327
72,4,Optativa,Optativa,2024-11-12 20:04:39.063565,2024-11-12 20:04:39.063565
73,4,TCC1,Trabalho de Conclusão de Curso 1,2024-11-12 20:04:39.347331,2024-11-12 20:04:39.347331
74,4,TCC2,Trabalho de Conclusão de Curso 2,2024-11-12 20:04:39.496893,2024-11-12 20:04:39.496893
75,5,CI1001,PROGRAMAÇÃO 1,2024-11-12 20:04:39.644283,2024-11-12 20:04:39.644283
76,5,CI1002,PROGRAMAÇÃO 2,2024-11-12 20:04:39.650921,2024-11-12 20:04:39.650921
77,5,CI1003,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO,2024-11-12 20:04:39.657414,2024-11-12 20:04:39.657414
78,5,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2024-11-12 20:04:39.664485,2024-11-12 20:04:39.664485
79,5,CI1056,ALGORITMOS E ESTRUTURAS DE DADOS 2,2024-11-12 20:04:39.670587,2024-11-12 20:04:39.670587
80,5,CI1057,ALGORITMOS E ESTRUTURAS DE DADOS 3,2024-11-12 20:04:39.676966,2024-11-12 20:04:39.676966
81,5,CI1068,CIRCUITOS DIGITAIS,2024-11-12 20:04:39.683876,2024-11-12 20:04:39.683876
82,5,CI1210,PROJETOS DIGITAIS E MICROPROCESSADORES,2024-11-12 20:04:39.690222,2024-11-12 20:04:39.690222
83,5,CI1212,ARQUITETURA DE COMPUTADORES,2024-11-12 20:04:39.696535,2024-11-12 20:04:39.696535
84,5,CI1237,MATEMÁTICA DISCRETA,2024-11-12 20:04:39.702677,2024-11-12 20:04:39.702677
85,5,CE009,INTRODUÇÃO À ESTATÍSTICA,2024-11-12 20:04:39.708642,2024-11-12 20:04:39.708642
86,5,CM310,PRÉ-CÁLCULO,2024-11-12 20:04:39.714395,2024-11-12 20:04:39.714395
87,5,CM311,Cálculo 1,2024-11-12 20:04:39.720312,2024-11-12 20:04:39.720312
88,5,CM312,Cálculo 2,2024-11-12 20:04:39.726132,2024-11-12 20:04:39.726132
89,5,CM303,INTRODUÇÃO À GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,2024-11-12 20:04:39.732087,2024-11-12 20:04:39.732087
90,5,CM304,COMPLEMENTOS DE MATEMÁTICA,2024-11-12 20:04:39.737812,2024-11-12 20:04:39.737812
91,5,CI1005,QUALIDADE DE SOFTWARE,2024-11-12 20:04:39.743566,2024-11-12 20:04:39.743566
92,5,CI1007,SEGURANÇA COMPUTACIONAL,2024-11-12 20:04:39.749392,2024-11-12 20:04:39.749392
93,5,CI1058,REDES DE COMPUTADORES 1,2024-11-12 20:04:39.755185,2024-11-12 20:04:39.755185
